id,amount,date,ord_number,user_id
1,262.75,7/17/2022,5602231173673908,1
2,398.47,5/8/2022,343737066507818,8
3,267.11,6/23/2022,376995030662685,10
4,380.62,12/20/2022,372301883804686,1
5,110.34,11/10/2022,374288003039046,10
6,83.14,12/6/2022,5610973700446296,1
7,370.08,9/24/2022,374283977938117,6
8,179.78,12/14/2022,374288980271463,9
9,313.73,12/14/2022,5602247689577243,7
10,320.84,6/8/2022,337941198640798,10
11,323.51,4/18/2022,374622925453614,9
12,139.76,5/25/2022,374288219296083,7
13,335.94,6/15/2022,5602234204927863,3
14,291.81,3/3/2022,5602234952240279,10
15,321.3,6/16/2022,5602234957119932,1
16,169.25,1/5/2023,5602227461655078,9
17,149.16,6/26/2022,5602242082752691,10
18,360.17,11/25/2022,5602215252695759,9
19,296.45,11/21/2022,5602259850007520,8
20,79.91,3/19/2022,5602228213939273,10
21,330.27,12/30/2022,374288577882094,8
22,359.88,2/3/2023,374622111903661,3
23,153.94,5/6/2022,5602213890451693,8
24,173.14,3/8/2022,337941851090620,6
25,229.59,10/29/2022,5602226231393218,10
26,257.51,7/3/2022,371361732253809,10
27,205.22,3/21/2022,374283448599977,2
28,335.45,3/1/2022,337941627856445,6
29,134.67,5/26/2022,374283413733627,8
30,290.98,8/5/2022,379147742427091,1
31,180.16,4/23/2022,5602238986220934,10
32,242.25,5/23/2022,5610260648753672,1
33,242.21,8/9/2022,374288944572998,4
34,198.84,8/31/2022,372301071830816,2
35,172.65,9/25/2022,5602211684472925,10
36,287.98,6/3/2022,5602229136252877,1
37,212.33,11/18/2022,374283268978160,8
38,320.08,3/5/2022,5602258853307051,2
39,379.02,3/15/2022,370759673688514,8
40,165.6,6/24/2022,5602249779680796,5
41,335.17,4/6/2022,337941902867489,7
42,393.51,10/29/2022,372301227372606,1
43,300.96,1/14/2023,341633190296703,6
44,317.2,4/25/2022,345298190922769,3
45,131.88,9/17/2022,5602220862176778,6
46,383.55,6/22/2022,5602245945740092,6
47,104.25,10/25/2022,5602211443843200,2
48,188.87,6/18/2022,5602218857023237,8
49,104.39,5/8/2022,337941792049008,10
50,98.08,1/16/2023,374622419180475,1
51,79.68,3/2/2022,5602232422009555,6
52,134.78,1/6/2023,5602231374502955,1
53,55.34,8/13/2022,5610941861217251,8
54,389.19,2/16/2022,374283193574720,7
55,156.61,5/8/2022,5602220521928908,5
56,59.05,1/14/2023,374288151875746,10
57,356.8,1/29/2023,5602247433820600,2
58,175.3,12/8/2022,5602218791240681,7
59,86.7,6/30/2022,5602224324531026,1
60,61.53,10/7/2022,5602215839849788,8
61,194.42,2/28/2022,5602250774568663,9
62,215.21,12/4/2022,5602236092507988,6
63,74.19,7/4/2022,372301000434854,3
64,366.14,12/16/2022,5602249493035590,9
65,394.83,3/29/2022,5602211522773245,5
66,330.38,8/22/2022,373325249290701,5
67,338.95,8/3/2022,374283128783073,1
68,132.53,12/9/2022,374288999911356,6
69,205.4,7/26/2022,374622502171647,3
70,295.99,3/18/2022,374622410026974,6
71,303.25,9/20/2022,5602218395621914,10
72,55.63,6/28/2022,376120552655484,8
73,190.92,2/19/2022,375790506528259,9
74,323.75,9/16/2022,347020903893204,7
75,87.78,7/1/2022,5602241066206294,10
76,106.24,10/14/2022,5602255938885689,5
77,51.55,2/25/2022,374283611641564,6
78,297.48,6/29/2022,5602223584497852,2
79,316.34,10/15/2022,5602249671529760,10
80,384.49,10/14/2022,5602245553759848,6
81,135.24,2/14/2022,374622798004577,8
82,399.07,6/12/2022,5602216918077887,9
83,120.22,2/6/2023,374622088847206,2
84,156.56,2/6/2023,5602223156140799,4
85,351.63,8/14/2022,374622514094324,9
86,315.68,6/27/2022,374283099444382,6
87,90.38,9/15/2022,342381527398318,9
88,361.45,5/16/2022,374288392839089,10
89,237.42,1/17/2023,5610360027467983,7
90,367.43,10/26/2022,372301568976940,2
91,277.73,8/30/2022,5602242644655879,2
92,315.53,2/1/2023,374288113447220,5
93,387.79,5/20/2022,374288792088873,7
94,92.04,3/19/2022,374283190709964,3
95,55.72,12/26/2022,5602245727784078,4
96,398.07,3/4/2022,5602210767682780,2
97,53.64,7/8/2022,374288850921312,1
98,78.61,10/31/2022,372301640108728,5
99,52.32,7/4/2022,5602256980923303,2
100,388.11,1/20/2023,374288974091034,8
